Epoch 1/15, Batch 700/769, Loss: 1.2185, Acc: 0.5469, LR: 0.010000
Epoch 1/15, Batch 710/769, Loss: 1.0617, Acc: 0.6719, LR: 0.010000
Epoch 1/15, Batch 720/769, Loss: 1.2914, Acc: 0.5781, LR: 0.010000
Epoch 1/15, Batch 730/769, Loss: 1.7530, Acc: 0.3750, LR: 0.010000
Epoch 1/15, Batch 740/769, Loss: 1.2940, Acc: 0.5781, LR: 0.010000
Epoch 1/15, Batch 750/769, Loss: 1.4375, Acc: 0.5469, LR: 0.010000
Epoch 1/15, Batch 760/769, Loss: 1.4308, Acc: 0.5938, LR: 0.010000

Epoch 1/15 总结:
训练集 Loss: 1.6296 Acc: 0.5221
验证集 Loss: 0.6812 Acc: 0.7911
当前学习率: 0.010000
已用时间: 1.9分钟
预计剩余时间: 0小时 27分钟 16秒
--------------------------------------------------
Epoch 2/15, Batch 10/769, Loss: 1.4665, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 20/769, Loss: 1.7576, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 30/769, Loss: 1.5918, Acc: 0.5469, LR: 0.010000
Epoch 2/15, Batch 40/769, Loss: 1.4856, Acc: 0.6094, LR: 0.010000
Epoch 2/15, Batch 50/769, Loss: 1.4983, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 60/769, Loss: 1.7430, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 70/769, Loss: 1.6524, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 80/769, Loss: 1.3662, Acc: 0.5469, LR: 0.010000
Epoch 2/15, Batch 90/769, Loss: 1.7779, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 100/769, Loss: 1.1707, Acc: 0.6562, LR: 0.010000
Epoch 2/15, Batch 110/769, Loss: 1.4488, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 120/769, Loss: 0.7685, Acc: 0.7500, LR: 0.010000
Epoch 2/15, Batch 130/769, Loss: 1.2682, Acc: 0.6719, LR: 0.010000
Epoch 2/15, Batch 140/769, Loss: 1.2414, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 150/769, Loss: 1.3065, Acc: 0.6250, LR: 0.010000
Epoch 2/15, Batch 160/769, Loss: 1.8192, Acc: 0.4375, LR: 0.010000
Epoch 2/15, Batch 170/769, Loss: 1.4477, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 180/769, Loss: 1.3560, Acc: 0.6406, LR: 0.010000
Epoch 2/15, Batch 190/769, Loss: 1.5098, Acc: 0.5469, LR: 0.010000
Epoch 2/15, Batch 200/769, Loss: 1.1930, Acc: 0.6719, LR: 0.010000
Epoch 2/15, Batch 210/769, Loss: 1.4856, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 220/769, Loss: 1.1285, Acc: 0.7031, LR: 0.010000
Epoch 2/15, Batch 230/769, Loss: 1.2500, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 240/769, Loss: 1.4278, Acc: 0.4688, LR: 0.010000
Epoch 2/15, Batch 250/769, Loss: 1.6904, Acc: 0.5000, LR: 0.010000
Epoch 2/15, Batch 260/769, Loss: 1.3128, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 270/769, Loss: 1.3789, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 280/769, Loss: 1.5255, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 290/769, Loss: 0.8781, Acc: 0.7031, LR: 0.010000
Epoch 2/15, Batch 300/769, Loss: 1.4693, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 310/769, Loss: 1.3133, Acc: 0.6094, LR: 0.010000
Epoch 2/15, Batch 320/769, Loss: 1.2042, Acc: 0.6719, LR: 0.010000
Epoch 2/15, Batch 330/769, Loss: 1.0706, Acc: 0.6094, LR: 0.010000
Epoch 2/15, Batch 340/769, Loss: 1.4511, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 350/769, Loss: 1.4288, Acc: 0.5625, LR: 0.010000
Epoch 2/15, Batch 360/769, Loss: 1.4202, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 370/769, Loss: 1.6909, Acc: 0.5938, LR: 0.010000
Epoch 2/15, Batch 380/769, Loss: 1.4895, Acc: 0.6094, LR: 0.010000
Epoch 2/15, Batch 390/769, Loss: 1.4063, Acc: 0.5312, LR: 0.010000
Epoch 2/15, Batch 400/769, Loss: 1.5077, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 410/769, Loss: 1.7208, Acc: 0.4844, LR: 0.010000
Epoch 2/15, Batch 420/769, Loss: 1.3718, Acc: 0.5781, LR: 0.010000
Epoch 2/15, Batch 430/769, Loss: 1.3345, Acc: 0.5625, LR: 0.010000
